# Valid MITRE ATT&CK (Enterprise) technique IDs used by, or plausibly useful to,
# the detections in this directory. Vendored rather than fetched at test time so
# CI depends on neither network access nor MITRE's uptime.
#
# Source: https://attack.mitre.org/techniques/enterprise/
# Reviewed against ATT&CK v15.

T1110          # Brute Force
T1110.001      # Brute Force: Password Guessing
T1110.003      # Brute Force: Password Spraying
T1110.004      # Brute Force: Credential Stuffing
T1558          # Steal or Forge Kerberos Tickets
T1558.003      # Steal or Forge Kerberos Tickets: Kerberoasting
T1059          # Command and Scripting Interpreter
T1059.001      # Command and Scripting Interpreter: PowerShell
T1078          # Valid Accounts
T1021.002      # Remote Services: SMB/Windows Admin Shares
T1046          # Network Service Discovery
